%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -9660.62511928381, -11071.355470580516, -10866.814657070001, -17028.743568509053, -3136.9332238356146, -2059.8920655121883, -6195.568286844288, -6861.650271612439, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444991570902114E9, 0.0, 2022-02-11 00:19:17.090
146.0, -9686.977825996617, -11083.648930030935, -10875.397726940839, -17031.71635052161, -3154.1217153217453, -2076.7452808314897, -6196.305894411314, -6869.629844382983, -17394.552218264605, -14187.18864765032, -20498.024880650628, -12477.391955541607, -7164.292891537296, -10258.355469507631, -12120.725169268271, -12351.216358091398, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444991570902197E9, 0.0, 2022-02-11 00:19:17.090
148.0, -9669.923444977218, -11077.56925553909, -10867.775782081579, -17033.303324377935, -3137.4249622136313, -2064.876504525722, -6192.751967042919, -6861.292643701154, -17394.26164558669, -14197.470450099761, -20509.938360445307, -12484.343348067207, -7167.377432272128, -10264.368088766108, -12125.150814670422, -12349.718791212892, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499157090227E9, 0.0, 2022-02-11 00:19:17.090
150.0, -9678.640625314787, -11090.95795046782, -10871.977910039177, -17037.863080246818, -3145.5162937064524, -2066.4634783820484, -6202.9443625145395, -6861.873789056992, -17395.602750254006, -14195.972883221255, -20500.52827602962, -12481.370566054651, -7158.861417634656, -10246.88902460206, -12116.031302932657, -12349.405866790517, 0.005, -0.006, 0.494, 192.0, 0.0, 40.0, 127.5, 80.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.6444991570902343E9, 0.0, 2022-02-11 00:19:17.090
152.0, -9693.951570266672, -11103.67609306289, -10876.090631018953, -17035.18087091218, -3149.651366430684, -2065.9493882595766, -6189.823888519274, -6863.88544605797, -17392.07117463007, -14196.576380321549, -20511.748851746186, -12485.304473078784, -7159.710783923958, -10250.88998685956, -12127.140119926944, -12349.450570279429, 0.005, -0.006, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499157090241E9, 0.0, 2022-02-11 00:19:17.090
154.0, -9682.932160250206, -11099.585723827568, -10875.062450774009, -17044.769769283506, -3147.237378029511, -2063.803620791867, -6198.809289790308, -6861.292643701154, -17395.49099153173, -14197.358691377485, -20498.963653917748, -12479.448316031494, -7164.114077581654, -10239.803521609727, -12122.558012313606, -12345.851939422124, 0.005, -0.006, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444991570902476E9, 0.0, 2022-02-11 00:19:17.090
156.0, -9699.58420986941, -11104.748976796744, -10889.278160247584, -17045.976763484094, -3154.836971144315, -2070.4644406395487, -6195.6129903331985, -6868.668719371405, -17400.318968334075, -14198.968016978268, -20507.92670344433, -12484.052775389287, -7166.75158342738, -10241.479902443874, -12125.039055948146, -12351.39517204704, 0.005, -0.006, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444991570902543E9, 0.0, 2022-02-11 00:19:17.090
158.0, -9693.705701077664, -11111.499203622247, -10873.721346106691, -17046.51320535102, -3137.6037761692737, -2066.843458037789, -6187.879286751662, -6863.97485303579, -17394.283997331142, -14209.406281638896, -20514.766337247653, -12497.37441508465, -7165.857513649168, -10257.84137938516, -12124.390855358943, -12351.082247624667, 0.005, -0.006, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444991570902607E9, 0.0, 2022-02-11 00:19:17.090
160.0, -9709.06134951846, -11122.96564852782, -10881.097421776942, -17048.70367630764, -3139.5707296813407, -2076.3653011757497, -6194.7859757883525, -6865.8300478255815, -17405.281055603155, -14213.921334018867, -20501.19882836328, -12486.131487623632, -7162.884731636612, -10257.573158451696, -12117.551221555617, -12354.323250570686, 0.006500000000000001, -0.007, 0.741, 192.0, 0.0, 32.0, 127.5, 96.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.6444991570902674E9, 0.0, 2022-02-11 00:19:17.090
162.0, -9721.287753735514, -11131.280497465194, -10888.495849191648, -17047.451978618144, -3142.722325649539, -2076.7452808314897, -6198.809289790308, -6878.2129142538215, -17408.656169015907, -14225.365427179984, -20522.455337340278, -12496.547400539805, -7168.115039839154, -10260.344774764155, -12128.503576338719, -12357.139570372054, 0.006500000000000001, -0.007, 0.741, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644499157090274E9, 0.0, 2022-02-11 00:19:17.090
