%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
22.0, -8919.418921401373, -10969.140943186396, -10476.106163991233, -16584.23442652636, -2883.0174068233264, -2828.568557330198, -5915.255059630283, -7083.759556264825, -16222.538497750582, -14514.462889964927, -19999.312758363816, -12107.78350922865, -6498.7920521249835, -10571.682223282127, -11393.935846559507, -11755.14003695727, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233280494E9, 0.0, 2022-02-11 00:12:03.328
24.0, -8910.791148041624, -10946.588033030992, -10479.324815192796, -16586.201380038427, -2891.019331338326, -2834.603528333131, -5923.3687428675585, -7094.197820925453, -16215.005959869142, -14503.39877645955, -19980.559644765814, -12095.937084667336, -6495.640456156785, -10571.302243626385, -11387.833820323209, -11753.173083445203, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233280587E9, 0.0, 2022-02-11 00:12:03.328
26.0, -8902.252781659698, -10920.525898996104, -10484.957454795534, -16581.75338289182, -2900.3176570317337, -2833.8882725105614, -5942.434780887936, -7100.88099251759, -16207.719291176712, -14491.373537942594, -19991.601406526734, -12104.475451049264, -6493.964075322638, -10578.365394874263, -11399.747300117886, -11760.146827715258, 0.006, -0.024, 0.988, 192.0, 0.0, 24.0, 127.5, 32.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.6444987233280663E9, 0.0, 2022-02-11 00:12:03.328
28.0, -8886.226580885243, -10910.847593646955, -10475.077983746289, -16585.32966200467, -2888.091252814681, -2822.4218276049887, -5936.064533718173, -7092.789661024769, -16208.367491765917, -14482.119915738096, -19978.257415086915, -12091.220866587266, -6495.483993945599, -10569.894083725701, -11396.908628572062, -11754.670650323707, 0.006, -0.024, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233280747E9, 0.0, 2022-02-11 00:12:03.328
30.0, -8879.006967426178, -10913.708616937234, -10481.828210571792, -16586.223731782884, -2901.926982632516, -2839.923243513494, -5948.536807124235, -7104.6137338416265, -16207.96516036572, -14487.506686151826, -19981.073734888287, -12100.318026580577, -6494.254648000557, -10565.0437551789, -11395.344006460191, -11760.884435282283, 0.006, -0.024, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644498723328082E9, 0.0, 2022-02-11 00:12:03.328
32.0, -8861.505551517672, -10899.448203974749, -10465.824361541792, -16575.60665316661, -2882.279799256301, -2824.8134642617065, -5932.845882516609, -7089.9733412234, -16193.280064258584, -14490.300654208739, -19975.99988889693, -12083.91184615038, -6483.257589728545, -10569.692918025603, -11396.68511112751, -11757.442266636166, 0.006, -0.024, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233280892E9, 0.0, 2022-02-11 00:12:03.328
34.0, -8858.555121249572, -10888.942884080754, -10470.898207533146, -16585.307310260214, -2888.538287703787, -2834.000031232838, -5941.272490176259, -7098.556411094238, -16190.687261901769, -14487.283168707272, -19956.66562994309, -12074.747630923704, -6478.47431641511, -10558.606452775772, -11389.823125579731, -11753.553063100942, 0.009000000000000001, -0.024, 0.987, 192.0, 0.0, 48.0, 127.5, 32.0, 15.0, 104.0, 0.0, 0.0, 0.0, 1.644498723328096E9, 0.0, 2022-02-11 00:12:03.328
36.0, -8853.168350835842, -10865.115924491398, -10475.972053524501, -16582.20041778093, -2890.996979593871, -2835.899929511539, -5942.658298332489, -7102.333855907185, -16189.748488634646, -14483.48337214987, -19972.177740595074, -12086.750517696204, -6479.077813515403, -10571.90574072668, -11401.11075652966, -11758.582205603387, 0.009000000000000001, -0.024, 0.987, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233281033E9, 0.0, 2022-02-11 00:12:03.328
38.0, -8832.425931981317, -10860.28794768905, -10462.963338251513, -16578.020641567786, -2867.4829444268876, -2823.315897383201, -5935.08105696214, -7093.415509869517, -16186.552189177537, -14475.615558101603, -19957.492644487935, -12073.786505912127, -6475.278016958001, -10562.80858073337, -11393.287645970304, -11754.245967179057, 0.009000000000000001, -0.024, 0.987, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233281102E9, 0.0, 2022-02-11 00:12:03.328
40.0, -8833.878795370912, -10859.438581399749, -10472.105201733733, -16581.596920680633, -2880.022273066315, -2830.6249178200865, -5953.923577537964, -7105.843079786669, -16181.433639697272, -14477.515456380304, -19960.800702667322, -12066.76805815316, -6472.8416768123725, -10565.110810412265, -11389.599608135177, -11762.694926583163, 0.009000000000000001, -0.024, 0.987, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444987233281171E9, 0.0, 2022-02-11 00:12:03.328
