%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -6278.180334351103, -5057.976252791435, -6047.644442039066, -11368.477209624913, -2689.227782395814, -810.0942742936938, -4487.202106380714, -3819.622554734058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866460743E9, 0.0, 2022-02-10 22:16:26.646
170.0, -6299.749767750474, -5079.568037935262, -6068.140991704583, -11388.6384831236, -2703.6893610583975, -826.9698413574507, -4495.98634195165, -3830.1278746280523, -15684.286139522332, -6778.0770990940455, -4997.693597995472, -4584.767470928129, -751.5997590541552, -2970.0103962433814, -5449.601167392871, -6733.150092738878, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866460848E9, 0.0, 2022-02-10 22:16:26.646
172.0, -6278.984997151494, -5061.753697604382, -6050.617224051622, -11372.791096304787, -2683.1481079039704, -807.5238236813335, -4478.21670510968, -3818.3038018111947, -15687.147162812611, -6785.229657319744, -4994.765519471827, -4591.0259593756155, -763.3344248931915, -2971.9549980109928, -5454.563254661948, -6735.295860206588, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 1.0, 24.0, 15.0, 80.0, 0.0, 0.0, 0.0, 1.6444917866460927E9, 0.0, 2022-02-10 22:16:26.646
174.0, -6288.618599011731, -5061.217255737455, -6053.9699857199175, -11376.121506228626, -2692.3346748751014, -812.575317928233, -4487.738548247641, -3834.128836885552, -15671.031555060335, -6767.638834433417, -4978.9628361419245, -4572.4740114777105, -744.6930700174654, -2951.3913931121106, -5438.022963765021, -6719.157900709856, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866460996E9, 0.0, 2022-02-10 22:16:26.646
176.0, -6286.897514688673, -5063.184209249522, -6061.837799768186, -11383.564637132244, -2695.195698165381, -811.4353789610122, -4497.685074530253, -3834.9558514303985, -15683.1014970662, -6779.3064450390875, -4997.023045661813, -4583.359311027445, -760.1381254360825, -2953.87243674665, -5458.653623897269, -6734.938232295302, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866461067E9, 0.0, 2022-02-10 22:16:26.646
178.0, -6269.261988313436, -5038.597290348684, -6043.129389659094, -11364.655061323056, -2671.838125209585, -793.1293002521159, -4480.74245223313, -3810.2571738072843, -15670.226892259943, -6759.011061073668, -4976.928827396492, -4563.71212765123, -739.127485648094, -2954.185361169024, -5439.207606221153, -6719.2026041987665, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644491786646114E9, 0.0, 2022-02-10 22:16:26.646
180.0, -6286.472831544022, -5051.069563754745, -6063.8271050247085, -11377.842590551685, -2689.4065963514563, -803.0311230458168, -4494.55583030651, -3806.7703016722567, -15673.222026016954, -6755.211264516266, -4980.46040302043, -4566.796668386062, -739.4627618149235, -2949.826771000239, -5443.610899878848, -6719.0237902431245, 0.002, 0.037, 0.489, 192.0, 0.0, 16.0, 1.0, 40.0, 15.0, 72.0, 0.0, 0.0, 0.0, 1.6444917866461208E9, 0.0, 2022-02-10 22:16:26.646
182.0, -6270.021947624916, -5035.892729269592, -6046.660965283033, -11362.77751478881, -2667.1666106184257, -781.126413479616, -4472.36054806239, -3795.03563583322, -15680.218122031465, -6761.805029130582, -4986.517725767819, -4571.669348677319, -742.6814130164878, -2950.6761372895407, -5448.2600627255515, -6720.320191421532, 0.002, 0.037, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644491786646128E9, 0.0, 2022-02-10 22:16:26.646
184.0, -6274.581703493799, -5037.636165337106, -6044.381087348591, -11363.760991544843, -2658.0694506251157, -783.9203815365292, -4461.318786301468, -3798.589563201614, -15660.570938655252, -6743.074267277035, -4963.987167356869, -4549.80934260003, -719.8602819276192, -2930.380753324122, -5429.21637644963, -6707.512641848642, 0.002, 0.037, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644491786646135E9, 0.0, 2022-02-10 22:16:26.646
186.0, -6277.509782017444, -5045.9957177633905, -6054.171151420016, -11370.57827360371, -2661.6904332268755, -782.1545937245601, -4468.784268949541, -3796.8908306230105, -15672.685584150027, -6759.726316896238, -4982.2261908324, -4560.962863083228, -728.5774622651891, -2945.6469947870964, -5441.018097522032, -6722.421255400331, 0.002, 0.037, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866461425E9, 0.0, 2022-02-10 22:16:26.646
188.0, -6259.717793431019, -5028.159025688055, -6036.803845978242, -11355.088514696183, -2642.512636484222, -759.3111108912362, -4446.4995797276, -3767.632397131014, -15663.141389267612, -6747.924595823836, -4971.854981405138, -4554.369098468912, -720.9108139170187, -2923.630526498619, -5422.890832768779, -6701.857650501448, 0.002, 0.037, 0.489, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866461496E9, 0.0, 2022-02-10 22:16:26.646
190.0, -6273.821744182318, -5033.009354234857, -6057.546264832767, -11371.829971293208, -2656.7730494467082, -770.3975761410685, -4462.346966546413, -3777.0201298022425, -15672.015031816369, -6752.730220881727, -4979.991016386869, -4562.661595661831, -728.8233314541974, -2918.8025496962728, -5425.260117681041, -6700.270676645122, -0.001, 0.053500000000000006, 0.7324999999999999, 192.0, 127.5, 112.0, 1.0, 24.0, 15.0, 64.0, 0.0, 0.0, 0.0, 1.6444917866461568E9, 0.0, 2022-02-10 22:16:26.646
192.0, -6256.633252696187, -5018.391313361087, -6040.67069776901, -11355.379087374102, -2638.5563777156326, -755.6007213116552, -4444.0408878375165, -3777.9365513249104, -15675.367793484664, -6752.886683092915, -4976.191219829467, -4559.778220627096, -730.7679332218091, -2925.217500354946, -5430.289260183485, -6704.361045880443, -0.001, 0.053500000000000006, 0.7324999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866461637E9, 0.0, 2022-02-10 22:16:26.646
194.0, -6265.149267333659, -5018.011333705346, -6037.9437849454625, -11354.932052484995, -2636.097685825549, -755.7571835228424, -4449.897044884807, -3777.5789234136255, -15657.687563620517, -6732.792464827593, -4956.633443431073, -4538.029973272082, -710.0031626228289, -2912.7228752044293, -5416.162957687731, -6691.844068985471, -0.001, 0.053500000000000006, 0.7324999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866461706E9, 0.0, 2022-02-10 22:16:26.646
196.0, -6268.434973768589, -5026.728514042916, -6044.582253048689, -11362.397535133068, -2634.3318980135796, -757.545323079267, -4448.377126261846, -3761.843295317089, -15674.138447539623, -6744.862406833459, -4974.783059928783, -4559.219427015713, -724.4200377965019, -2928.9725934234375, -5428.970507260622, -6708.026731971113, -0.001, 0.053500000000000006, 0.7324999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444917866461775E9, 0.0, 2022-02-10 22:16:26.646
