%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -9532.12494041025, -11317.135252611071, -10196.038805966236, -16232.97676241121, -2970.6138933436746, -3461.189980648754, -6297.24637237148, -7197.954618686988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, -0.012, 0.494, 192.0, 0.0, 32.0, 127.5, 32.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.644498338067628E9, 0.0, 2022-02-11 00:05:38.067
84.0, -9530.135635153727, -11306.585229228167, -10191.322587886167, -16234.183756611796, -2973.5419718673197, -3460.184152148265, -6321.721532550041, -7206.716502513469, -17704.70502432645, -15626.238659171899, -23168.49954944844, -12814.948000305654, -7723.287668620071, -12716.913249124676, -10515.51228946594, -11378.691956840988, 0.004, -0.012, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380676358E9, 0.0, 2022-02-11 00:05:38.067
86.0, -9545.088952194328, -11314.207174087427, -10196.39643387752, -16237.134186879897, -2978.1911347140235, -3468.5884080634605, -6329.187015198114, -7215.813662506779, -17707.521344127817, -15619.756653279861, -23179.183683298073, -12833.343485992371, -7734.374133869903, -12753.346592586828, -10520.809652901848, -11386.291549955791, 0.004, -0.012, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380676427E9, 0.0, 2022-02-11 00:05:38.067
88.0, -9528.347495597303, -11323.19257535846, -10191.791974519727, -16235.971896168221, -2969.1610299540794, -3456.965500946701, -6314.5913260687985, -7199.2957233543075, -17717.02083552132, -15634.441749386997, -23172.433456472572, -12822.882869587287, -7727.422741344302, -12739.309697068895, -10521.435501746595, -11384.548113888279, 0.004, -0.012, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380676491E9, 0.0, 2022-02-11 00:05:38.067
90.0, -9547.547644084412, -11319.303371823236, -10201.962018246892, -16238.40823631385, -2981.6109516156857, -3467.6272830518824, -6327.845910530796, -7213.466729338972, -17720.46300416744, -15643.561261124762, -23175.965032096512, -12827.375570222805, -7732.541290824568, -12739.153234857708, -10521.927240124613, -11387.230323222915, 0.004, -0.012, 0.494, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380676568E9, 0.0, 2022-02-11 00:05:38.067
92.0, -9539.188091658127, -11325.539508526268, -10200.464451368387, -16236.195413612773, -2970.0774514767472, -3457.1666666467986, -6332.383314655222, -7206.560040302282, -17717.132594243598, -15641.393141912598, -23181.172988554597, -12826.34738997786, -7727.154520410839, -12731.508938253992, -10531.247917562476, -11391.320692458235, 0.007, -0.019000000000000003, 0.742, 192.0, 0.0, 40.0, 127.5, 24.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.6444983380676632E9, 0.0, 2022-02-11 00:05:38.067
94.0, -9531.208518887583, -11313.983656642873, -10199.279808912255, -16238.162367124842, -2972.11146022218, -3464.6768527837817, -6323.062637217359, -7220.418121864573, -17718.384291933096, -15631.066635974246, -23174.0204303289, -12816.892602073265, -7725.075808176495, -12723.886993394732, -10526.263478548943, -11387.5879511342, 0.007, -0.019000000000000003, 0.742, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64449833806767E9, 0.0, 2022-02-11 00:05:38.067
96.0, -9534.31541136687, -11294.537638966756, -10202.409053135998, -16235.390750812383, -2973.072585233758, -3462.553437060528, -6315.910078991661, -7207.252944380396, -17714.763309331334, -15628.362074895154, -23183.49756997795, -12840.652506429256, -7727.422741344302, -12736.76159820099, -10528.342190783285, -11394.896971571085, 0.007, -0.019000000000000003, 0.742, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380676763E9, 0.0, 2022-02-11 00:05:38.067
98.0, -9529.398027586702, -11319.90686892353, -10196.68700655544, -16236.038951401586, -2970.9491695105044, -3449.477666554173, -6322.950878495083, -7203.654313523092, -17717.311408199243, -15628.987923739902, -23175.562700696315, -12827.464977200625, -7730.373171612403, -12740.069656380374, -10524.31887678133, -11386.448012166979, 0.007, -0.019000000000000003, 0.742, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644498338067683E9, 0.0, 2022-02-11 00:05:38.067
100.0, -9556.644804077721, -11326.09830213765, -10207.751120060817, -16244.398503827872, -2988.7411580969288, -3466.0403091955554, -6332.740942566507, -7213.779653761346, -17730.253068238864, -15642.555432624273, -23182.312927521816, -12827.107349289341, -7730.395523356859, -12734.146444099719, -10529.862109406247, -11392.281817469815, 0.007, -0.019000000000000003, 0.742, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380676897E9, 0.0, 2022-02-11 00:05:38.067
102.0, -9538.919870724663, -11315.14594735455, -10204.621875837074, -16240.26343110364, -2981.5215446378643, -3450.058811910011, -6341.502826392988, -7209.063435681276, -17728.241411237886, -15640.588479112206, -23195.76867768391, -12830.34835223536, -7736.00581121514, -12732.380656287749, -10537.126426354222, -11395.232247737915, 0.0085, -0.022500000000000003, 0.867, 192.0, 0.0, 40.0, 127.5, 24.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.6444983380676963E9, 0.0, 2022-02-11 00:05:38.067
104.0, -9528.101626408295, -11312.486089764368, -10207.169974704979, -16244.711428250246, -2985.9918935289256, -3459.737117259159, -6327.488282619511, -7203.564906545271, -17724.151042002566, -15632.675961575027, -23186.40329675714, -12830.415407468727, -7729.9931919566625, -12734.705237711101, -10537.75227519897, -11392.460631425456, 0.0085, -0.022500000000000003, 0.867, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380677032E9, 0.0, 2022-02-11 00:05:38.067
106.0, -9556.13071395525, -11324.466624792412, -10212.042654996236, -16239.704637492257, -2985.433099917543, -3453.9703671896896, -6328.941146009105, -7209.778691503846, -17728.50963217135, -15639.739112822905, -23194.651090461146, -12826.056817299941, -7740.945546739763, -12743.064790137387, -10539.56276649985, -11399.34496871769, 0.0085, -0.022500000000000003, 0.867, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380677342E9, 0.0, 2022-02-11 00:05:38.067
108.0, -9541.289155636925, -11316.777624699787, -10203.884268270049, -16240.97868692621, -2971.217390443968, -3442.123942628377, -6310.746826022485, -7200.8826972106335, -17721.848812323668, -15636.274592432332, -23176.523825707893, -12825.96741032212, -7736.609308315434, -12726.010409117987, -10533.41603677464, -11391.25363722487, 0.0085, -0.022500000000000003, 0.867, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644498338067741E9, 0.0, 2022-02-11 00:05:38.067
110.0, -9563.260920436493, -11329.562822528223, -10213.964905019391, -16245.538442795092, -2992.943286054526, -3455.8702654683907, -6336.563090868365, -7212.662066538581, -17735.908059586058, -15632.094816219189, -23193.35468928274, -12826.235631255584, -7743.091314207472, -12737.342743556828, -10535.807673431358, -11396.729814616421, 0.0085, -0.022500000000000003, 0.867, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380677476E9, 0.0, 2022-02-11 00:05:38.067
112.0, -9546.608870817288, -11319.169261356505, -10209.606314850607, -16245.493739306181, -2991.4904226649314, -3451.422268321785, -6356.8584748337835, -7213.042046194321, -17739.886670099102, -15637.012199999357, -23203.39062254317, -12829.029599312496, -7751.115590466928, -12749.367982073783, -10544.726019469026, -11400.149631518083, 0.01025, -0.02525, 0.9285, 192.0, 0.0, 48.0, 127.5, 16.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.6444983380677545E9, 0.0, 2022-02-11 00:05:38.067
114.0, -9547.637051062233, -11312.6202002311, -10211.796785807228, -16246.11958815093, -2987.8917918076268, -3456.9207974577903, -6352.678698620642, -7220.932211987044, -17735.952763074965, -15646.914022793058, -23192.281805548886, -12821.25119224205, -7739.068000205518, -12732.112435354285, -10542.803769445869, -11399.143803017594, 0.01025, -0.02525, 0.9285, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644498338067765E9, 0.0, 2022-02-11 00:05:38.067
116.0, -9554.297870909915, -11322.209098602427, -10216.64711435403, -16249.651163774868, -2981.834469060239, -3452.6516142668265, -6312.132634178714, -7206.314171113274, -17736.46685319744, -15651.943165295503, -23200.998985886454, -12840.6301546848, -7744.968860741718, -12746.037572149942, -10540.836815933802, -11406.318712987748, 0.01025, -0.02525, 0.9285, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644498338067784E9, 0.0, 2022-02-11 00:05:38.067
118.0, -9550.74394354152, -11332.267383607315, -10211.036826495747, -16249.69586726378, -2972.2902741778225, -3440.6263757498714, -6323.599079084287, -7205.554211801793, -17733.82934735171, -15639.873223289636, -23190.62777645919, -12836.15980579374, -7742.0854857069835, -12735.308734811395, -10533.930126897112, -11397.713291372454, 0.01025, -0.02525, 0.9285, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380677907E9, 0.0, 2022-02-11 00:05:38.067
120.0, -9563.730307070055, -11340.470473822412, -10215.037788753247, -16248.220652129728, -2977.408823658088, -3450.3270328434746, -6336.987774013016, -7215.545441573316, -17739.61844916564, -15650.065618761257, -23194.60638697224, -12828.53786093448, -7733.882395491886, -12738.370923801771, -10534.019533874934, -11403.189468764003, 0.01025, -0.02525, 0.9285, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380677977E9, 0.0, 2022-02-11 00:05:38.067
122.0, -9560.7575250575, -11335.53073829779, -10211.21564045139, -16249.07001841903, -2969.898637521105, -3450.6623090103044, -6321.319201149846, -7216.707732284991, -17737.673847398026, -15655.76531359736, -23197.936796896076, -12829.230765012595, -7738.285689149581, -12736.314563311884, -10534.265403063942, -11405.715215887454, 0.012, -0.03, 0.986, 192.0, 0.0, 48.0, 127.5, 8.0, 15.0, 104.0, 0.0, 0.0, 0.0, 1.644498338067804E9, 0.0, 2022-02-11 00:05:38.067
124.0, -9561.428077391158, -11335.508386553334, -10216.177727720467, -16255.909652222355, -2975.7771463128506, -3456.697280013237, -6321.877994761228, -7206.537688557826, -17736.80212936427, -15646.645801859595, -23191.857122404235, -12828.224936512106, -7727.154520410839, -12735.420493533671, -10534.89125190869, -11404.172945520038, 0.012, -0.03, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380678108E9, 0.0, 2022-02-11 00:05:38.067
126.0, -9583.332786957359, -11353.72505828441, -10220.312800444699, -16258.569509812536, -2984.203753972501, -3455.44558232374, -6337.323050179845, -7210.38218860414, -17750.03436208181, -15662.448485189498, -23210.16320111313, -12846.106332076351, -7747.338145653981, -12749.010354162498, -10546.089475880799, -11411.5937246792, 0.012, -0.03, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444983380678177E9, 0.0, 2022-02-11 00:05:38.067
