%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
48.0, -7288.166259308608, -6609.097911011924, -6462.492819129565, -11243.620365097568, -4715.6369347139525, -2696.96148597735, -5143.6728410330825, -4351.772886726008, -15066.483922777645, -9697.997236013083, -6201.603257847221, -6033.2499186098485, -2269.5514285029685, -4957.840437631659, -5324.9901920545335, -6310.098625433282, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444918587528036E9, 0.0, 2022-02-10 22:17:38.752
50.0, -7268.697889888035, -6583.326349654955, -6439.89520548525, -11220.016922952762, -4693.285190258645, -2675.9955496782723, -5132.9887071834455, -4333.556214994934, -15055.732733694642, -9686.955474252161, -6196.730577555964, -6016.150834101539, -2251.804143405455, -4942.283623490765, -5306.19237496762, -6293.983017681006, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444918587528112E9, 0.0, 2022-02-10 22:17:38.752
52.0, -7284.992311595955, -6598.681998095751, -6456.65901382673, -11233.070341714661, -4715.078141102569, -2698.4143493669453, -5153.8875882491575, -4360.713584508131, -15053.676373204753, -9680.428764871212, -6195.277714166369, -6019.257726580826, -2253.860503895343, -4942.149513024034, -5303.577220866349, -6290.272628101424, 0.005, 0.036000000000000004, 0.488, 192.0, 0.0, 40.0, 1.0, 32.0, 15.0, 64.0, 0.0, 0.0, 0.0, 1.644491858752818E9, 0.0, 2022-02-10 22:17:38.752
54.0, -7267.960282321011, -6585.2485996781115, -6444.074981698392, -11220.083978186129, -4705.668056686885, -2685.9867794497945, -5144.343393366742, -4337.132494107783, -15062.661774475788, -9691.5375818655, -6206.61004860521, -6034.6580785105325, -2264.142306344784, -4958.131010309578, -5312.182642481643, -6296.776985737919, 0.005, 0.036000000000000004, 0.488, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444918587528248E9, 0.0, 2022-02-10 22:17:38.752
56.0, -7259.891302572644, -6583.3710531438655, -6432.452074581633, -11205.801213479188, -4695.609771681997, -2677.5825235345987, -5140.364782853697, -4336.573700496399, -15041.49467247661, -9669.901093232762, -6179.564437814288, -6011.546374743745, -2239.890663610776, -4935.175768753978, -5287.23809566952, -6271.631273225698, 0.005, 0.036000000000000004, 0.488, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444918587528312E9, 0.0, 2022-02-10 22:17:38.752
58.0, -7272.050651556332, -6592.736434070639, -6448.99236547856, -11211.389149593015, -4711.1218823339805, -2686.098538172071, -5150.020736458389, -4339.725296464598, -15056.023306372561, -9683.58036083941, -6196.752929300419, -6026.946726673452, -2249.6136724488347, -4951.134914295068, -5299.419796397662, -6277.710947717542, 0.005, 0.036000000000000004, 0.488, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644491858752838E9, 0.0, 2022-02-10 22:17:38.752
60.0, -7234.81264529379, -6565.310843623977, -6426.7076762566185, -11187.182210347917, -4687.853716356006, -2673.156878132448, -5146.735030023459, -4326.515415491512, -15045.942669623217, -9675.287863646492, -6187.0969756957265, -6019.928278914485, -2242.01407933403, -4945.5022746923305, -5287.796889280902, -6264.5234184889105, 0.005, 0.036000000000000004, 0.488, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444918587528443E9, 0.0, 2022-02-10 22:17:38.752
62.0, -7250.10123850122, -6575.927922240248, -6434.08375192687, -11191.45139353888, -4695.877992615461, -2691.418253352434, -5163.565893598306, -4349.157732624738, -15042.366390510368, -9669.38700311029, -6185.375891372668, -6020.017685892307, -2240.784733388988, -4950.911396850514, -5286.120508446755, -6257.683784685587, 0.0055, 0.055, 0.735, 192.0, 0.0, 24.0, 1.0, 40.0, 15.0, 88.0, 0.0, 0.0, 0.0, 1.644491858752851E9, 0.0, 2022-02-10 22:17:38.752
64.0, -7249.095410000731, -6565.243788390611, -6423.377266332778, -11175.469896253337, -4687.630198911453, -2674.520334544222, -5135.603861284717, -4316.702999675632, -15044.959192867183, -9677.076003202916, -6183.990083216439, -6026.991430162362, -2241.432933978192, -4959.606225443629, -5288.132165447732, -6258.734316674986, 0.0055, 0.055, 0.735, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444918587528577E9, 0.0, 2022-02-10 22:17:38.752
66.0, -7236.779598805857, -6554.380840585332, -6417.02937090747, -11166.998585104775, -4676.051995283603, -2672.3745670765124, -5140.63300378716, -4311.360932750814, -15025.714340891165, -9654.925424447707, -6165.371080085169, -6006.114900841106, -2218.321230211405, -4937.790922855249, -5261.958272690567, -6231.554595417332, 0.0055, 0.055, 0.735, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644491858752864E9, 0.0, 2022-02-10 22:17:38.752
