%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -10639.765636892991, -12707.123185053253, -7643.581347892446, -15413.472403701831, -942.8859881026731, -2159.670252760679, -2489.514945687645, -4527.323487677991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977200999696E9, 0.0, 2022-02-10 23:55:20.099
6.0, -10639.67622991517, -12700.082385549831, -7633.835987309932, -15419.037988071203, -946.2834532598798, -2159.8490667163214, -2494.4099777233578, -4534.297231948046, -20472.678002438308, -17868.47625595048, -23076.745638459404, -13610.111309303202, -7901.520478906689, -12696.640216903714, -6670.2746355861, -9360.32943252676, 0.001, -0.012, 0.497, 192.0, 0.0, 8.0, 127.5, 32.0, 15.5, 8.0, 0.0, 0.0, 0.0, 1.6444977200999787E9, 0.0, 2022-02-10 23:55:20.099
8.0, -10660.373945280784, -12709.604228687791, -7644.117789759373, -15419.753243893772, -953.5701219523099, -2171.248456388528, -2505.2952772730923, -4547.752982110141, -20478.310642041048, -17879.808590389322, -23092.14599038911, -13631.636039213663, -7897.027778271173, -12716.689731680124, -6676.376661822398, -9369.42659252007, 0.001, -0.012, 0.497, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977200999856E9, 0.0, 2022-02-10 23:55:20.099
10.0, -10638.022200825477, -12698.785984371423, -7630.483225641636, -15414.210011268857, -933.341793220257, -2158.954996938109, -2486.4304049528128, -4528.530481878577, -20479.115304841438, -17879.003927588932, -23082.244167595407, -13627.903297889627, -7895.954894537318, -12718.075539836353, -6670.498153030652, -9370.074793109274, 0.001, -0.012, 0.497, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977200999932E9, 0.0, 2022-02-10 23:55:20.099
12.0, -10646.024125340477, -12695.299112236395, -7640.385048435337, -15409.739662377795, -954.3524330082456, -2160.609026027802, -2509.944440119796, -4529.223385956691, -20476.164874573336, -17879.942700856056, -23078.779647204836, -13618.64967568513, -7883.907304275907, -12706.117356552764, -6663.122077360401, -9361.961109871998, 0.001, -0.012, 0.497, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201000004E9, 0.0, 2022-02-10 23:55:20.100
14.0, -10627.71804663158, -12688.571237155347, -7635.490016399624, -15409.158517021957, -947.6692614161088, -2140.827732184855, -2494.7005504012764, -4516.080560216971, -20474.332031528, -17874.8688548647, -23093.442391567518, -13625.22108855499, -7893.786775325153, -12699.545943682902, -6673.426231554298, -9359.882397637653, 0.001, -0.012, 0.497, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201000073E9, 0.0, 2022-02-10 23:55:20.100
16.0, -10631.741360633536, -12677.328309694329, -7634.730057088144, -15409.560848422152, -937.4545142000335, -2154.797572469422, -2463.944550030774, -4525.334182421468, -20470.95691811525, -17865.995212315942, -23073.28111806883, -13619.074358829781, -7890.545772379133, -12694.114469780263, -6658.562321491519, -9359.100086581719, 0.004, -0.026000000000000002, 0.992, 192.0, 0.0, 16.0, 127.5, 24.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.644497720100014E9, 0.0, 2022-02-10 23:55:20.100
18.0, -10644.906538117712, -12687.163077254663, -7640.921490302264, -15405.090499531092, -951.9607963515278, -2148.8073049553996, -2478.2943699710813, -4516.348781150435, -20471.873339637918, -17871.78431412987, -23083.249996095896, -13621.644809442141, -7883.773193809176, -12706.251467019496, -6662.630338982384, -9362.318737783282, 0.004, -0.026000000000000002, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644497720100021E9, 0.0, 2022-02-10 23:55:20.100
20.0, -10632.635430411749, -12677.46242016106, -7623.911812771776, -15406.632769898508, -941.1425520351592, -2137.452618772104, -2472.7064338572545, -4504.2117839112025, -20468.38646750289, -17850.43839817505, -23075.248071580896, -13611.944152348537, -7881.202743196815, -12673.953196281576, -6661.423344781798, -9352.171045800573, 0.004, -0.026000000000000002, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644497720100028E9, 0.0, 2022-02-10 23:55:20.100
22.0, -10645.308869517907, -12688.973568555542, -7632.383123920336, -15399.413156439443, -948.4292207275893, -2149.991947411531, -2482.8988293288744, -4516.348781150435, -20467.023011091114, -17864.29647973734, -23068.967231388957, -13602.914047588594, -7879.951045507318, -12711.794699644412, -6658.227045324689, -9357.535464469847, 0.004, -0.026000000000000002, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644497720100036E9, 0.0, 2022-02-10 23:55:20.100
24.0, -10625.728741375058, -12677.149495738686, -7627.376333162348, -15394.316958703634, -930.0784385297821, -2135.485665260037, -2459.8094773065422, -4506.715179290197, -20462.19503428877, -17858.954412812524, -23076.209196592474, -13600.790631865339, -7872.239693670237, -12702.474022206548, -6658.405859280331, -9356.172008058073, 0.004, -0.026000000000000002, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644497720100043E9, 0.0, 2022-02-10 23:55:20.100
26.0, -10637.463407214094, -12681.865713818755, -7626.370504661859, -15401.357758207056, -932.7159443755085, -2133.585766981336, -2465.44211690928, -4503.004789710616, -20461.077447066004, -17855.33343021076, -23065.435655765017, -13598.398995208621, -7874.541923349134, -12692.996882557498, -6649.1745888202895, -9351.768714400378, 0.006, -0.022, 0.99, 192.0, 0.0, 24.0, 127.5, 40.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.6444977201000497E9, 0.0, 2022-02-10 23:55:20.100
28.0, -10635.764674635491, -12664.74427756599, -7631.042019253018, -15403.816450097138, -933.1629792646146, -2130.27770880195, -2477.5791141485115, -4516.393484639345, -20462.70912441124, -17858.797950601336, -23085.731039730435, -13621.533050719865, -7875.32423440507, -12693.265103490961, -6655.187208078767, -9358.340127270238, 0.006, -0.022, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644497720100258E9, 0.0, 2022-02-10 23:55:20.100
30.0, -10615.849270325813, -12664.118428721242, -7619.866147025365, -15400.441336684387, -917.8296825682739, -2134.1669123371735, -2472.4382129237906, -4495.181679151258, -20453.410798717832, -17852.740627853946, -23066.88851915461, -13610.781861636862, -7863.790734266131, -12682.93859755261, -6647.609966708418, -9354.249758034915, 0.006, -0.022, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201002672E9, 0.0, 2022-02-10 23:55:20.100
32.0, -10646.15823580721, -12687.431298188127, -7633.165434976272, -15400.731909362306, -926.1892349945588, -2139.2631100729836, -2471.924122801319, -4507.788063024052, -20459.088141809483, -17870.040878062355, -23067.268498810354, -13605.97623657897, -7866.1153156894825, -12687.677167377135, -6646.246510296644, -9355.367345257682, 0.006, -0.022, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644497720100274E9, 0.0, 2022-02-10 23:55:20.100
34.0, -10629.662648399193, -12670.64513810219, -7616.133405701328, -15392.461763913843, -910.7441795759415, -2125.740304677523, -2468.1690297328273, -4514.806510783018, -20458.842272620474, -17861.949546569533, -23072.72232445745, -13604.210448767, -7866.495295345223, -12686.648987132192, -6652.996737122147, -9355.412048746592, 0.006, -0.022, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201002812E9, 0.0, 2022-02-10 23:55:20.100
36.0, -10616.542174403927, -12661.302108919872, -7621.788397048521, -15395.769822093229, -917.8967378016398, -2128.0425343564193, -2482.7647188621427, -4499.227344897669, -20456.27182200811, -17841.96708702649, -23055.444425993493, -13588.698338115018, -7859.566254564078, -12682.8938940637, -6642.133789316868, -9350.829941133254, 0.008, -0.02, 0.99, 192.0, 0.0, 32.0, 127.5, 48.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.6444977201003153E9, 0.0, 2022-02-10 23:55:20.100
38.0, -10650.449770742629, -12680.122277751241, -7638.194577478716, -15401.983607051803, -927.731505361975, -2144.2699008309723, -2480.306026972059, -4508.458615357711, -20459.848101120962, -17862.687154136558, -23079.785475705325, -13616.54861170633, -7880.576894352066, -12707.369054242261, -6653.354365033432, -9363.972766872976, 0.008, -0.02, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201003227E9, 0.0, 2022-02-10 23:55:20.100
40.0, -10642.559604949905, -12674.355527681771, -7623.263612182572, -15397.848534327572, -913.0017057659276, -2130.031839612942, -2458.4236691503133, -4500.456690842711, -20466.82184539102, -17866.62106116069, -23073.9963738914, -13618.180289051568, -7881.582722852555, -12684.525571408936, -6651.3427080324545, -9359.167141815084, 0.008, -0.02, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201003299E9, 0.0, 2022-02-10 23:55:20.100
42.0, -10654.674250444681, -12684.7937923424, -7629.767969819066, -15400.061357028648, -927.4185809396006, -2141.5653397518804, -2484.01641655164, -4517.3546096509235, -20473.549720472067, -17873.05836356382, -23069.43661802252, -13601.21531500999, -7880.867467029985, -12687.476001677038, -6649.956899876225, -9359.100086581719, 0.008, -0.02, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201003368E9, 0.0, 2022-02-10 23:55:20.100
44.0, -10639.028029325966, -12682.044527774398, -7634.8418158104205, -15401.961255307348, -922.27767971488, -2131.0376681134308, -2475.232180980704, -4494.444071584234, -20474.421438505822, -17877.595767688246, -23086.155722875086, -13612.681759915562, -7885.22605719877, -12703.23398151803, -6660.752792448139, -9362.944586628031, 0.008, -0.02, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201003437E9, 0.0, 2022-02-10 23:55:20.100
46.0, -10628.366247220785, -12672.835609058811, -7629.611507607879, -15402.609455896552, -921.9200518035951, -2144.1804938531513, -2470.1583349893494, -4498.757958264107, -20471.068676837527, -17867.11279953871, -23071.18005409003, -13601.572942921275, -7884.354339165014, -12695.388519214215, -6653.443772011254, -9357.267243536382, 0.008, -0.026000000000000002, 0.994, 192.0, 0.0, 32.0, 127.5, 24.0, 15.5, 8.0, 0.0, 0.0, 0.0, 1.6444977201003504E9, 0.0, 2022-02-10 23:55:20.100
48.0, -10649.846273642335, -12684.525571408936, -7635.981754777641, -15403.458822185854, -922.3000314593353, -2147.0638688878857, -2479.881343827408, -4516.348781150435, -20472.454484993756, -17864.095314037244, -23087.832103709236, -13619.767262907895, -7882.722661819776, -12705.871487363755, -6658.115286602412, -9366.90084539662, 0.008, -0.026000000000000002, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444977201003575E9, 0.0, 2022-02-10 23:55:20.100
