%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -7691.995226382641, -4847.981613633825, -6215.148414987138, -11685.536704723443, -2469.018396022129, -726.4540465419349, -3958.0916116346853, -4016.1167402406622, -8671.135743991821, -5302.236116199031, -2648.078220853594, -2730.9808410383275, -508.74805554724406, -1509.2791926001541, -2876.960084075938, -3597.893249737412, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.5, 32.0, 7.5, 32.0, 0.0, 0.0, 0.0, 1.6444916093242795E9, 0.0, 2022-02-10 22:13:29.324
2.0, -7701.181793353772, -4847.065192111158, -6209.739292828953, -11682.16159131069, -2467.1855529767936, -728.5104070318231, -3957.1528383675623, -4017.3013826967936, -17336.236516980713, -10591.016482235967, -5294.077729472844, -5453.959757561655, -1006.0520179333708, -3002.3086669813, -5739.235072044739, -7178.642711477603, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444916093242884E9, 0.0, 2022-02-10 22:13:29.324
4.0, -7705.830956200476, -4856.72114571585, -6223.955002302529, -11694.656216461208, -2478.6519978823662, -733.6066047676331, -3977.1129461661517, -4038.4014294626036, -17354.944927089804, -10608.607305122294, -5308.919287791167, -5468.13076354632, -1025.6544978206753, -3018.2231090334785, -5756.982357142253, -7194.199525618497, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444916093242953E9, 0.0, 2022-02-10 22:13:29.324
6.0, -7693.939828150253, -4846.729915944328, -6205.537164871355, -11682.608626199797, -2459.228331950704, -731.0138024108174, -3949.843817930677, -4031.807664848288, -17341.980915305725, -10602.460575397085, -5298.324560919352, -5457.290167485496, -1010.9246982246278, -3012.3446002417327, -5746.588795970535, -7188.388072060117, -0.001, 0.03, 0.368, 192.0, 127.5, 120.0, 0.5, 112.0, 11.5, 0.0, 0.0, 0.0, 0.0, 1.644491609324302E9, 0.0, 2022-02-10 22:13:29.324
8.0, -7703.416967799302, -4857.5705120051525, -6218.210603977514, -11693.873905405273, -2469.040747766584, -736.3111658467252, -3949.7991144417665, -4020.3412199427153, -17341.95856356127, -10602.929962030645, -5299.486851631028, -5460.330004731418, -1011.1929191580915, -3015.496196209931, -5741.112618578985, -7186.354063314684, -0.001, 0.03, 0.368, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444916093243213E9, 0.0, 2022-02-10 22:13:29.324
10.0, -7693.090461860951, -4845.321756043644, -6205.738330571453, -11684.575579711865, -2452.746326058665, -718.9885638938623, -3928.6543641870458, -4005.8572895356765, -17346.67478164134, -10607.869697555268, -5299.889183031223, -5461.358184976361, -1006.4767010780217, -3015.9432310990373, -5744.42067675837, -7189.706824982981, -0.001, 0.03, 0.368, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444916093243277E9, 0.0, 2022-02-10 22:13:29.324
12.0, -7694.610380483911, -4846.059363610669, -6201.625609591676, -11683.525047722465, -2449.0359364790843, -720.709648216921, -3930.39780025456, -3995.5307835973244, -17333.129624501424, -10588.155458945688, -5291.8872585162235, -5448.528283659016, -997.6701137626308, -2985.9471900400154, -5723.924127092854, -7167.13156308312, -0.001, 0.03, 0.368, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444916093243344E9, 0.0, 2022-02-10 22:13:29.324
14.0, -7695.191525839749, -4852.988404391815, -6213.85201380873, -11694.07507110537, -2458.624834850411, -732.0419826557616, -3946.848684173666, -4008.3383331702157, -17345.803063607582, -10598.772537561958, -5301.789081309925, -5465.113278044853, -1010.209442402058, -3010.981143829959, -5741.403191256904, -7185.102365625187, -0.001, 0.03, 0.368, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6444916093243408E9, 0.0, 2022-02-10 22:13:29.324
16.0, -7685.312054790504, -4838.14684607349, -6196.149432200126, -11681.669852932675, -2445.3702503884138, -720.5531860057338, -3940.5007887483584, -3983.3714346136376, -17333.733121601716, -10594.682168326637, -5288.8921247592125, -5451.232844738108, -998.4747765630218, -3010.869385107683, -5730.495539962714, -7179.246208577897, -0.002, 0.062, 0.86, 192.0, 127.5, 120.0, 0.5, 120.0, 13.0, 112.0, 0.0, 0.0, 0.0, 1.6444916093243475E9, 0.0, 2022-02-10 22:13:29.324
18.0, -7699.795985197543, -4845.925253143937, -6208.912278284107, -11693.739794938541, -2458.7365935726875, -728.9127384320186, -3939.003221869853, -4013.903917539587, -17333.084921012512, -10582.232246665031, -5291.909610260679, -5455.1220482733315, -999.3688463412341, -3010.4447019630315, -5730.272022518161, -7177.793345188302, -0.002, 0.062, 0.86, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644491609324354E9, 0.0, 2022-02-10 22:13:29.324
