%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
74.0, -8961.730773655268, -8874.491915046205, -5341.597538184827, -12842.172425052218, -7550.35222176936, -4045.9786708329525, -7485.420404126693, -5612.344218771961, -9822.94348751825, -12189.121507301512, -6056.741602032376, -5406.708169783136, -5222.440388493585, -8829.296687757575, -10109.112871779547, -15038.521890464055, 0.002, 0.12, 0.47700000000000004, 192.0, 0.0, 16.0, 3.5, 64.0, 14.5, 104.0, 0.0, 0.0, 0.0, 1.644588347771307E9, 0.0, 2022-02-12 01:05:47.771
76.0, -8978.069898852098, -8905.270267161164, -5339.362363739296, -12850.06259084494, -7554.956681127153, -4051.320737757771, -7496.439814143159, -5619.407370019838, -9838.924984803794, -12205.147708075967, -6046.415096094024, -5414.0395419644765, -5221.568670459827, -8825.787463878092, -10112.108005536558, -15074.93288218175, 0.002, 0.12, 0.47700000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644588347771312E9, 0.0, 2022-02-12 01:05:47.771
0.0, -4755.646557288952, -4610.181404373813, -2865.1360112590805, -6724.164691467845, -3824.629345492047, -1946.166389723586, -3803.9763336153433, -2780.1546788400033, -4909.739483563839, -6092.169116994038, -3019.02777183387, -2707.2209366823363, -2598.8596795630074, -4412.122596755337, -5054.779953334326, -7517.450453931147, 0.004, 0.179, 0.7155, 192.0, 0.0, 24.0, 3.5, 56.0, 14.5, 104.0, 0.0, 0.0, 0.0, 1.644588347901142E9, 0.0, 2022-02-12 01:05:47.901
2.0, -9490.818916656843, -9207.868183597111, -5723.812368370577, -13446.340077679168, -7643.804865336999, -3887.7059683449233, -7599.235486893116, -5555.637843088847, -10172.100087654602, -12488.947807425, -6385.111079825292, -5564.824410059979, -5161.017794730401, -8490.243076115023, -10690.9734834401, -15668.014069558869, 0.004, 0.179, 0.7155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644588347908265E9, 0.0, 2022-02-12 01:05:47.908
4.0, -9518.244507103504, -9224.430826238493, -5723.633554414935, -13456.71128710643, -7653.416115452781, -3893.428014925482, -7611.55129808799, -5561.67281409178, -10177.576265046151, -12494.826316216746, -6375.209257031591, -5558.834142545956, -5157.217998172999, -8485.616265012774, -10692.426346829694, -15712.426985791564, 0.004, 0.179, 0.7155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64458834791571E9, 0.0, 2022-02-12 01:05:47.915
6.0, -9506.35337905328, -9215.646590667557, -5733.3565632529935, -13451.3245166927, -7635.825292566454, -3889.136479990063, -7613.071216710951, -5562.790401314545, -10170.714279498372, -12504.348159354706, -6384.038196091437, -5573.586293886458, -5153.261739404409, -8487.180887124645, -10697.366082354318, -15682.38624124363, 0.004, 0.179, 0.7155, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644588347923751E9, 0.0, 2022-02-12 01:05:47.923
8.0, -9516.299905335893, -9209.052826053241, -5723.208871270284, -13456.979508039894, -7638.172225734262, -3893.942105047954, -7599.146079915296, -5570.300587451528, -10168.300291097199, -12486.422060301551, -6377.489134966032, -5580.090651522953, -5150.266605647398, -8490.086613903835, -10693.007492185532, -15690.410517503085, 0.008, 0.24, 0.9500000000000001, 192.0, 0.0, 32.0, 3.5, 64.0, 14.5, 88.0, 0.0, 0.0, 0.0, 1.644588347930921E9, 0.0, 2022-02-12 01:05:47.930
10.0, -9515.450539046591, -9227.090683828674, -5732.574252197058, -13454.498464405355, -7636.294679200016, -3894.031512025775, -7593.893419968298, -5558.834142545956, -10171.92127369896, -12505.577505299749, -6373.242303519524, -5562.164552469797, -5154.915768494102, -8482.039985899924, -10687.01722467151, -15709.163631101088, 0.008, 0.24, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644588347937937E9, 0.0, 2022-02-12 01:05:47.937
12.0, -9507.113338364761, -9223.134425060085, -5729.020324828663, -13446.09420849016, -7631.086722741929, -3886.5660293777028, -7589.221905377139, -5546.965366240188, -10167.182703874434, -12496.882676706635, -6384.954617614105, -5570.38999442935, -5132.9887071834455, -8485.191581868123, -10688.246570616553, -15667.947014325502, 0.008, 0.24, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644588347945666E9, 0.0, 2022-02-12 01:05:47.945
14.0, -9511.427225044636, -9209.63397140908, -5723.1418160369185, -13453.827912071696, -7645.101266515407, -3887.2812852002726, -7599.704873526678, -5552.9779854986655, -10172.882398710537, -12497.66498776257, -6367.54260868342, -5546.115999950886, -5153.932291738069, -8474.708613718583, -10689.11828865031, -15708.515430511885, 0.008, 0.24, 0.9500000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644588347953465E9, 0.0, 2022-02-12 01:05:47.953
