%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -10113.806738115161, -9530.31444910937, -5595.8262796194895, -13075.59169239899, -8640.603261065873, -4826.836863379105, -8069.650300699509, -6138.951318138996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689580982E9, 0.0, 2022-02-12 00:54:49.580
146.0, -10117.159499783456, -9532.303754365892, -5611.964239116221, -13071.367212696936, -8644.872444256836, -4829.653183180473, -8064.487047730333, -6141.320603051258, -9425.641229825167, -12205.773556920714, -7119.187071226486, -5663.485010085704, -5571.775802585578, -7872.150286692416, -11851.900738704293, -16799.347615164235, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689580987E9, 0.0, 2022-02-12 00:54:49.580
148.0, -10099.635732130497, -9513.461233790069, -5601.816547133511, -13062.784142826098, -8632.109598172856, -4818.030276063714, -8061.804838395696, -6135.9114808930735, -9416.633476809679, -12169.809600092125, -7139.393048214084, -5676.583132336514, -5566.05375600502, -7873.960777993296, -11850.134950892325, -16729.4984137414, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64458768958099E9, 0.0, 2022-02-12 00:54:49.580
0.0, -5131.133512393655, -4694.670998414874, -3241.6064431198174, -5815.856852037532, -5222.216871049031, -2829.4179236195, -4629.314497627556, -3196.3665123422757, -4712.59709746803, -6100.640428142599, -3567.2043046002755, -2828.9708887303937, -2779.7970509287184, -3930.2189862989176, -5924.776902768243, -8402.71364482804, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 3.5, 40.0, 14.5, 104.0, 0.0, 0.0, 0.0, 1.644587689698158E9, 0.0, 2022-02-12 00:54:49.698
2.0, -10269.97837662439, -9395.91340969961, -6486.476240930109, -11641.481416402034, -10451.407486368118, -5664.69200428629, -9265.848608714177, -6402.165460844692, -9665.117819919327, -12195.447050982362, -8314.759530396406, -5899.988818167308, -7734.128264680894, -8760.16274215731, -11275.337490479647, -15346.66303952492, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689705345E9, 0.0, 2022-02-12 00:54:49.705
4.0, -10285.624597743106, -9380.267188580894, -6493.04765379997, -11627.39981739519, -10442.422085097085, -5662.747402518678, -9272.867056473144, -6406.546402757932, -9664.469619330122, -12181.141934530966, -8314.804233885317, -5920.395960855003, -7750.445038133269, -8767.963500972211, -11274.42106895698, -15300.193762802335, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689711865E9, 0.0, 2022-02-12 00:54:49.711
6.0, -10263.719888176905, -9373.762830944399, -6483.503458917554, -11632.183090708624, -10443.651431042128, -5653.314966358539, -9257.64551849908, -6395.571696230376, -9670.348128121868, -12184.204123521344, -8313.552536195819, -5907.878983960031, -7740.610270572934, -8761.637957291361, -11272.185894511449, -15314.253010064724, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689720008E9, 0.0, 2022-02-12 00:54:49.720
8.0, -10279.902551162548, -9388.671444496089, -6494.9699038231265, -11629.858509285274, -10440.544538562839, -5654.656071025857, -9265.289815102795, -6399.952638143616, -9670.526942077511, -12192.340158503075, -8301.728463378962, -5903.140414135506, -7738.1515786828495, -8760.430963090774, -11270.151885766016, -15336.358885331021, 0.002, 0.234, 0.9460000000000001, 192.0, 0.0, 8.0, 3.5, 40.0, 14.5, 72.0, 0.0, 0.0, 0.0, 1.644587689735054E9, 0.0, 2022-02-12 00:54:49.735
10.0, -10271.386536525075, -9375.126287356174, -6488.040863041981, -11623.667076071153, -10425.837090711248, -5639.456884796248, -9249.442428283981, -6382.875905379761, -9658.859331471842, -12174.83874259457, -8299.40388195561, -5904.6379810140115, -7733.167139669316, -8768.812867261513, -11264.563949652189, -15276.009175301693, 0.002, 0.234, 0.9460000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689741505E9, 0.0, 2022-02-12 00:54:49.741
12.0, -10280.103716862646, -9385.273979338883, -6478.8319443263945, -11648.365753694266, -10434.777788493371, -5634.405390549349, -9248.883634672598, -6377.556190199398, -9671.733936278099, -12185.388765977475, -8293.771242352872, -5909.354199094081, -7736.877529248897, -8755.938262455256, -11259.646565872023, -15339.376370832488, 0.002, 0.234, 0.9460000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64458768974966E9, 0.0, 2022-02-12 00:54:49.749
14.0, -10266.536207978274, -9378.032014135362, -6488.510249675543, -11623.532965604421, -10413.789500449837, -5623.788311933078, -9244.413285781537, -6372.21412327458, -9660.155732650248, -12178.146800773955, -8311.071492561281, -5896.703111732378, -7732.474235591202, -8747.444599562241, -11253.253966957804, -15283.541713183131, 0.002, 0.234, 0.9460000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64458768975752E9, 0.0, 2022-02-12 00:54:49.757
16.0, -10270.581873724685, -9374.299272811328, -6476.507362903043, -11635.02176225445, -10415.331770817253, -5617.73098918569, -9236.053733355253, -6368.369623228267, -9657.920558204718, -12171.865960582014, -8310.244478016433, -5886.063681371651, -7710.748339980643, -8746.818750717492, -11251.197606467917, -15295.298730766623, 0.002, 0.234, 0.9460000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.644587689764736E9, 0.0, 2022-02-12 00:54:49.764
18.0, -10276.41567902752, -9369.493647753436, -6487.504421175054, -11638.530986133932, -10410.928477159558, -5621.106102598442, -9245.620279982124, -6370.493038951521, -9668.180008909703, -12190.529667202196, -8279.577884623754, -5900.346446078593, -7726.796892499554, -8741.96842217069, -11251.264661701282, -15324.93714391436, 0.004, 0.23800000000000002, 0.9480000000000001, 192.0, 0.0, 16.0, 3.5, 56.0, 14.5, 80.0, 0.0, 0.0, 0.0, 1.644587689772158E9, 0.0, 2022-02-12 00:54:49.772
